record_id,date,city,ward,road_name,latitude,longitude,rainfall_mm,humidity_percent,traffic_density_vph,road_age_years,vehicle_load_tons,drainage_quality_score,risk_label
RRA-00055,2025-10-27,Mumbai,Malad Ward,Link Road,19.184729,72.857397,9.51,54.59,2653.2,27.8,6.92,34.41,High
RRA-00056,2025-01-18,Chennai,Tambaram Ward,GST Road,12.924588,80.094322,9.62,48.43,431.9,27.5,7.35,8.73,Medium
RRA-00057,2025-08-01,Delhi,Nangloi Ward,Rohtak Road,28.683328,77.061989,39.05,76.39,100.0,7.7,9.58,55.52,Low
RRA-00058,2025-12-20,Bangalore,Marathahalli Ward,Outer Ring Road,12.941992,77.698427,13.37,60.36,819.3,15.6,8.88,54.34,Low
RRA-00059,2025-11-14,Delhi,Nangloi Ward,Rohtak Road,28.680029,77.058997,4.48,44.64,1249.2,7.7,9.2,55.52,Low
RRA-00060,2025-09-13,Pune,Katraj Ward,Katraj Dehu Road Bypass,18.437337,73.867315,22.36,50.42,1598.4,27.9,,10.35,High
RRA-00061,2025-01-28,Delhi,Nizamuddin Ward,Mathura Road,28.588971,77.256547,2.68,48.0,1642.3,15.6,6.15,61.4,Low
RRA-00062,2025-08-29,Bangalore,Bellandur Ward,Sarjapur Road,12.914548,77.689005,22.11,51.58,1192.5,21.0,16.7,33.19,High
RRA-00063,2025-01-18,Bangalore,HAL Ward,Old Airport Road,12.955689,77.63387,12.8,53.75,1436.5,5.6,13.09,58.83,Low
RRA-00064,2025-07-29,Delhi,Dhaula Kuan Ward,Outer Ring Road,28.586269,77.158907,38.94,81.06,2015.5,27.2,5.38,32.72,Critical
RRA-00065,2025-03-24,Pune,Bibwewadi Ward,Pune Satara Road,18.456336,73.866794,11.42,53.17,1906.7,27.2,16.34,53.6,High
RRA-00066,2025-05-10,Bangalore,Bannerghatta Ward,Bannerghatta Road,12.894895,77.597511,11.41,45.19,1093.5,27.2,13.1,33.99,High
RRA-00067,2025-06-23,Delhi,Nizamuddin Ward,Mathura Road,28.57803,77.255564,38.47,64.76,1100.3,15.6,19.92,61.4,High
RRA-00068,2025-04-16,Hyderabad,Gachibowli Ward,Outer Ring Road,17.450632,78.380762,5.55,53.07,691.8,11.2,8.15,21.41,Low
RRA-00069,2025-03-06,Delhi,Dhaula Kuan Ward,Outer Ring Road,28.595568,77.153259,17.2,46.94,668.5,27.2,12.93,32.72,High
RRA-00070,2025-05-14,Delhi,Dwarka Ward,NH48 Highway,28.589076,77.050314,14.46,48.26,1270.7,3.7,5.17,33.75,Low
RRA-00071,2025-12-04,Bangalore,Kengeri Ward,Mysore Road,12.902538,77.481687,5.0,47.05,7759.774460996992,10.9,7.71,33.33,Medium
RRA-00072,2025-08-03,Mumbai,Andheri Ward,Western Express Highway,19.110012,72.851088,45.7,69.73,941.3,18.2,12.34,59.23,High
RRA-00073,2025-03-25,Chennai,Sholinganallur Ward,Old Mahabalipuram Road,12.895433,80.222866,4.03,46.17,,8.9,16.47,46.95,Low
RRA-00074,2025-04-22,Mumbai,Chembur Ward,Eastern Express Highway,19.045898,72.892816,21.52,54.74,100.0,22.7,16.26,49.17,Medium
RRA-00075,2025-08-27,Bangalore,Bannerghatta Ward,Bannerghatta Road,12.893951,77.60176,30.91,58.95,822.4,27.2,17.01,33.99,High
RRA-00076,2025-11-29,Pune,Baner Ward,Baner Road,18.557533,73.783593,3.17,48.95,1625.9,6.4,14.23,70.82,Low
RRA-00077,2025-08-25,Chennai,Neelankarai Ward,East Coast Road,12.949494,80.264191,17.0,62.04,877.8,26.6,11.49,44.7,High
RRA-00078,2025-09-21,Bangalore,Bannerghatta Ward,Bannerghatta Road,12.903558,77.595196,18.05,59.24,1895.3,27.2,4.44,33.99,High
RRA-00079,2025-12-10,Delhi,Nizamuddin Ward,Mathura Road,28.601421,77.253476,16.2,54.65,1290.8,15.6,6.6,61.4,Medium
RRA-00080,2025-05-25,Delhi,Nangloi Ward,Rohtak Road,28.681708,77.05133,25.34,51.36,852.5,7.7,8.61,55.52,Low
RRA-00081,2025-05-08,Mumbai,Chembur Ward,Eastern Express Highway,19.057527,72.889902,33.66,66.93,681.8,22.7,24.82,49.17,High
RRA-00082,2025-12-03,Bangalore,Kengeri Ward,Mysore Road,12.913888,77.490476,7.01,39.01,1363.2,10.9,12.96,33.33,Medium
RRA-00083,2025-08-11,Bangalore,Whitefield Ward,Whitefield Main Road,12.967196,77.759963,28.99,,1737.4,9.0,11.54,34.76,Medium
RRA-00084,2025-12-05,Delhi,Dhaula Kuan Ward,Outer Ring Road,28.586527,77.162271,3.11,42.15,539.3,27.2,14.71,32.72,Medium
RRA-00085,2025-07-31,Mumbai,Chembur Ward,Eastern Express Highway,19.053843,72.899275,51.03,75.35,1898.7,22.7,14.4,49.17,Critical
RRA-00086,2025-03-17,Pune,Vadgaon Sheri Ward,Nagar Road,18.556135,73.912736,4.97,,1101.4,27.7,12.3,20.82,Medium
RRA-00087,2025-04-13,Delhi,Dwarka Ward,NH48 Highway,28.592302,77.048292,5.05,48.82,1744.0,3.7,12.12,33.75,Low
RRA-00088,2025-01-30,Bangalore,Electronic City Ward,Hosur Road,12.839809,77.660503,10.17,50.05,1181.2,3.2,15.34,45.63,Low
RRA-00089,2025-07-07,Mumbai,Andheri Ward,Western Express Highway,19.103228,72.852397,63.85,81.06,873.1,18.2,8.98,59.23,High
RRA-00090,2025-02-01,Mumbai,Thane Ward,Ghodbunder Road,19.242313,72.975167,9.8,65.73,1009.7,18.8,14.29,60.54,Medium
RRA-00091,2025-11-25,Bangalore,Marathahalli Ward,Outer Ring Road,12.957181,77.701756,7.0,50.28,2854.0,15.6,10.53,54.34,Medium
RRA-00092,2025-08-20,Delhi,Nangloi Ward,Rohtak Road,28.671741,77.057807,37.02,74.76,1415.1,7.7,9.9,55.52,Medium
RRA-00093,2025-02-24,Chennai,Tambaram Ward,GST Road,12.933977,80.095271,10.52,46.18,1186.7,27.5,3.51,8.73,High
RRA-00094,2025-10-12,Delhi,Nangloi Ward,Rohtak Road,28.684745,77.063441,14.37,65.65,1675.7,7.7,12.92,55.52,Medium
RRA-00095,2025-12-15,Delhi,Dwarka Ward,NH48 Highway,28.581145,77.048182,28.25,62.76,1374.8,3.7,11.35,33.75,Medium
RRA-00096,2025-08-02,Mumbai,Chembur Ward,Eastern Express Highway,19.055616,72.899716,45.1,72.4,1425.5,22.7,35.61,49.17,Critical
RRA-00097,2025-02-02,Delhi,Azadpur Ward,GT Karnal Road,28.701647,77.170341,5.5,48.06,1382.6,8.5,15.16,55.67,Low
RRA-00098,2025-09-23,Chennai,Tambaram Ward,GST Road,12.926368,80.11499,28.77,67.24,1363.2,27.5,19.03,8.73,Critical
RRA-00099,2025-11-30,Mumbai,Andheri Ward,Western Express Highway,19.125166,72.851806,17.14,61.66,977.7,18.2,11.82,59.23,Medium
RRA-00100,2025-01-22,Bangalore,Electronic City Ward,Hosur Road,12.853089,77.654113,5.71,47.6,1924.1,3.2,,45.63,Medium
RRA-00101,2025-11-18,Pune,Katraj Ward,Katraj Dehu Road Bypass,18.456819,73.863443,6.82,48.94,673.7,27.9,11.18,10.35,High
RRA-00102,2025-11-23,Hyderabad,Hussain Sagar Ward,Tank Bund Road,17.424474,78.477099,20.03,49.46,1100.0,22.2,16.98,26.42,High
RRA-00103,2025-04-29,Pune,Katraj Ward,Katraj Dehu Road Bypass,18.446265,73.867302,11.12,48.94,1029.6,27.9,13.87,10.35,High
RRA-00104,2025-02-10,Hyderabad,Gachibowli Ward,Outer Ring Road,17.438363,78.377848,6.77,49.8,1099.8,11.2,16.07,21.41,Medium
RRA-00105,2025-09-28,Bangalore,Electronic City Ward,Hosur Road,12.848013,77.662572,11.82,62.06,689.2,3.2,8.42,45.63,Low
RRA-00106,2025-06-02,Bangalore,Bellandur Ward,Sarjapur Road,12.911683,77.680132,20.95,61.71,1855.3,21.0,16.24,33.19,High
RRA-00107,2025-10-04,Mumbai,Chembur Ward,Eastern Express Highway,19.051002,72.903867,,52.73,1037.9,22.7,30.7,49.17,High
RRA-00108,2025-10-16,Mumbai,Andheri Ward,Western Express Highway,19.121253,72.840405,7.79,53.74,1364.2,18.2,14.7,59.23,Medium
RRA-00109,2025-12-13,Mumbai,Andheri Ward,Western Express Highway,19.10914,72.850665,17.61,65.61,1175.8,18.2,6.56,59.23,Medium
RRA-00110,2025-11-26,Bangalore,Whitefield Ward,Whitefield Main Road,12.975074,77.744321,5.92,53.86,1030.9,9.0,,34.76,Low
RRA-00111,2025-04-10,Hyderabad,Uppal Ward,Uppal Road,17.409439,78.558556,10.39,61.1,1635.8,22.8,8.78,33.72,High
RRA-00112,2025-01-07,Chennai,Tambaram Ward,GST Road,12.928642,80.100094,6.69,43.13,982.8,27.5,13.84,8.73,High
RRA-00113,2025-04-19,Mumbai,Malad Ward,Link Road,19.190195,72.854823,20.4,53.93,1905.4,27.8,20.63,34.41,Critical
RRA-00114,2025-04-29,Bangalore,HAL Ward,Old Airport Road,12.958848,77.648619,6.42,54.67,1659.2,5.6,9.62,58.83,Low
RRA-00115,2025-08-10,Delhi,Nizamuddin Ward,Mathura Road,28.586194,77.261788,37.3,68.56,1364.4,15.6,9.96,61.4,Medium
RRA-00116,2025-05-23,Pune,Baner Ward,Baner Road,18.554934,73.783055,21.02,57.78,1270.6,6.4,7.24,70.82,Low
RRA-00117,2025-03-16,Bangalore,HAL Ward,Old Airport Road,12.959071,77.644512,8.37,55.24,379.3,5.6,9.91,58.83,Low
RRA-00118,2025-12-08,Delhi,Nangloi Ward,Rohtak Road,28.676782,77.059915,9.17,47.41,2125.7,7.7,11.65,55.52,Medium
RRA-00119,2025-09-22,Pune,Baner Ward,Baner Road,18.554299,73.785415,20.17,65.6,1639.5,6.4,2.0,70.82,Low
RRA-00120,2025-06-30,Bangalore,Whitefield Ward,Whitefield Main Road,12.972488,77.751948,38.36,61.91,1637.3,9.0,12.31,34.76,High
RRA-00121,2025-03-30,Bangalore,Whitefield Ward,Whitefield Main Road,12.970691,77.752825,15.67,69.24,613.6,9.0,17.6,34.76,Medium
RRA-00122,2025-01-12,Chennai,Teynampet Ward,Anna Salai,13.045798,80.244809,7.52,54.13,839.8,26.0,16.34,24.53,High
RRA-00123,2025-10-13,Mumbai,Malad Ward,Link Road,19.192902,72.849733,15.11,56.16,1905.8,27.8,15.13,34.41,Critical
RRA-00124,2025-01-12,Delhi,Dwarka Ward,NH48 Highway,28.592641,77.038642,4.25,36.17,1041.7,3.7,11.77,33.75,Low
RRA-00125,2025-09-01,Hyderabad,Uppal Ward,Uppal Road,17.403852,78.558547,26.81,80.14,2012.2,22.8,,33.72,Critical
RRA-00126,2025-07-30,Chennai,Sholinganallur Ward,Old Mahabalipuram Road,12.89529,80.224195,6.69,46.26,1265.3,8.9,15.06,46.95,Low
RRA-00127,2025-12-27,Bangalore,HAL Ward,Old Airport Road,12.959307,77.654141,5.97,48.41,401.6,5.6,16.41,58.83,Low
RRA-00128,2025-10-24,Pune,Katraj Ward,Katraj Dehu Road Bypass,18.451548,73.863572,5.98,50.2,2122.7,27.9,6.96,10.35,High
RRA-00129,2025-11-02,Bangalore,Bannerghatta Ward,Bannerghatta Road,12.894947,77.598677,4.81,46.11,1648.3,27.2,35.38,33.99,Critical
RRA-00130,2025-04-06,Mumbai,Vashi Ward,Sion Panvel Highway,19.071412,73.009571,15.07,51.53,1614.7,15.5,12.59,64.06,Medium
RRA-00131,2025-06-08,Bangalore,Peenya Ward,Tumkur Road,13.038406,77.52008,26.76,64.85,1150.5,7.4,7.62,84.46,Low
RRA-00132,2025-07-23,Delhi,Nizamuddin Ward,Mathura Road,28.582469,77.256645,38.57,68.38,1021.6,15.6,9.96,61.4,Medium
RRA-00133,2025-05-11,Mumbai,Chembur Ward,Eastern Express Highway,19.05369,72.899656,34.61,58.67,705.7,22.7,27.12,49.17,High
RRA-00134,2025-02-16,Bangalore,HAL Ward,Old Airport Road,12.958482,77.653139,,50.79,888.3,5.6,11.39,58.83,Low
RRA-00135,2025-07-04,Pune,Baner Ward,Baner Road,18.5597,73.778556,43.61,76.51,1848.1,6.4,9.56,70.82,Medium
RRA-00136,2025-06-07,Mumbai,Vashi Ward,Sion Panvel Highway,19.072377,73.005834,58.55,81.56,1160.9,15.5,4.75,64.06,High
RRA-00137,2025-12-13,Mumbai,Ghatkopar Ward,LBS Marg,19.093278,72.907182,6.22,47.97,1725.8,8.0,7.58,64.75,Low
RRA-00138,2025-01-23,Bangalore,Whitefield Ward,Whitefield Main Road,12.962186,77.748965,5.64,42.6,337.4,9.0,3.92,34.76,Low
RRA-00139,2025-05-11,Mumbai,Bandra Ward,SV Road,19.05449,72.828297,41.8,72.06,760.2,13.0,18.36,25.17,High
RRA-00140,2025-09-25,Bangalore,Electronic City Ward,Hosur Road,12.841134,77.658826,18.52,56.3,,3.2,14.78,45.63,Low
RRA-00141,2025-07-18,Mumbai,Bandra Ward,SV Road,19.070192,72.840708,55.17,75.19,1676.1,13.0,5.3,25.17,High
RRA-00142,2025-11-21,Chennai,Tambaram Ward,GST Road,12.918776,80.100363,39.94,63.66,2018.3,27.5,24.86,8.73,Critical
RRA-00143,2025-09-12,Mumbai,Thane Ward,Ghodbunder Road,19.240593,72.9741,22.95,51.74,,18.8,,60.54,High
RRA-00144,2025-11-27,Chennai,Sholinganallur Ward,Old Mahabalipuram Road,12.906351,80.23071,28.73,57.52,1808.9,8.9,23.18,46.95,High
RRA-00145,2025-10-17,Delhi,Azadpur Ward,GT Karnal Road,28.723291,77.175699,13.22,54.08,1846.4,8.5,16.3,55.67,Medium
RRA-00146,2025-06-22,Mumbai,Chembur Ward,Eastern Express Highway,19.047041,72.907198,64.71,74.41,801.7,22.7,8.02,49.17,High
RRA-00147,2025-08-14,Pune,Baner Ward,Baner Road,18.564787,73.787443,28.92,60.04,787.3,6.4,7.56,70.82,Low
RRA-00148,2025-06-21,Mumbai,Bandra Ward,SV Road,19.062726,72.832292,69.34,89.55,774.4,13.0,18.6,25.17,Critical
RRA-00149,2025-06-27,Chennai,Tambaram Ward,GST Road,12.935258,80.097411,5.34,48.45,2080.4,27.5,7.37,8.73,High
RRA-00150,2025-02-17,Bangalore,Marathahalli Ward,Outer Ring Road,12.961674,77.700885,15.74,48.22,,15.6,18.76,54.34,Medium
RRA-00151,2025-03-10,Delhi,Laxmi Nagar Ward,Vikas Marg,28.632516,77.265693,9.76,,2128.1,9.6,7.49,24.48,Medium
RRA-00152,2025-06-17,Hyderabad,Banjara Hills Ward,Banjara Hills Road No 12,17.4097,78.443107,28.37,62.92,1074.1,24.5,3.79,34.45,High
RRA-00153,2025-11-11,Delhi,Laxmi Nagar Ward,Vikas Marg,28.629889,77.270821,11.89,37.02,484.4,9.6,11.55,24.48,Low
RRA-00154,2025-05-08,Bangalore,Marathahalli Ward,Outer Ring Road,12.955916,77.70632,9.8,52.54,625.3,15.6,19.61,54.34,Medium
RRA-00155,2025-08-13,Chennai,Sholinganallur Ward,Old Mahabalipuram Road,12.89942,80.235469,11.74,48.09,2385.3,8.9,19.39,46.95,Medium
RRA-00156,2025-11-29,Mumbai,Ghatkopar Ward,LBS Marg,19.086491,72.902742,8.09,60.79,879.3,8.0,26.32,64.75,Low
RRA-00157,2025-11-28,Delhi,Nizamuddin Ward,Mathura Road,28.587731,77.249852,22.62,,1516.9,15.6,9.25,61.4,Medium
RRA-00158,2025-02-28,Chennai,Neelankarai Ward,East Coast Road,12.9567,80.252174,,47.28,2616.8,26.6,8.47,44.7,High
RRA-00159,2025-09-04,Bangalore,Electronic City Ward,Hosur Road,12.848769,77.66532,18.31,46.11,2144.6,3.2,16.76,45.63,Medium
RRA-00160,2025-02-19,Delhi,Dhaula Kuan Ward,Outer Ring Road,28.589195,77.17144,9.67,36.5,942.0,27.2,,32.72,Medium
RRA-00161,2025-09-14,Mumbai,Bandra Ward,SV Road,19.056403,72.822711,14.16,58.09,1465.1,13.0,6.59,25.17,Medium
RRA-00162,2025-05-19,Bangalore,Bannerghatta Ward,Bannerghatta Road,12.902318,77.595123,26.11,62.44,1051.5,27.2,8.05,33.99,High
RRA-00163,2025-06-27,Delhi,Nizamuddin Ward,Mathura Road,28.587029,77.253653,36.25,68.78,1800.9,15.6,6.65,61.4,High
RRA-00164,2025-09-24,Delhi,Dwarka Ward,NH48 Highway,28.598518,77.046569,12.62,44.13,1469.7,3.7,11.52,33.75,Low
RRA-00165,2025-01-20,Chennai,Neelankarai Ward,East Coast Road,12.963764,80.258124,4.96,37.05,1901.6,26.6,13.41,44.7,High
RRA-00166,2025-06-08,Pune,Baner Ward,Baner Road,18.550984,73.789952,35.91,71.92,2154.3,6.4,9.63,70.82,Medium
RRA-00167,2025-10-27,Delhi,Nangloi Ward,Rohtak Road,28.670872,77.060045,3.62,50.51,1230.1,7.7,17.71,55.52,Low
RRA-00168,2025-09-01,Pune,Katraj Ward,Katraj Dehu Road Bypass,18.453779,73.858256,18.83,53.52,,27.9,14.71,10.35,Critical
RRA-00169,2025-11-10,Chennai,Neelankarai Ward,East Coast Road,12.948646,80.265405,33.46,57.27,435.3,26.6,20.13,44.7,High
RRA-00170,2025-04-03,Pune,Bibwewadi Ward,Pune Satara Road,18.471557,73.861553,5.64,54.14,1043.8,27.2,8.79,53.6,Medium
RRA-00171,2025-07-27,Mumbai,Malad Ward,Link Road,19.19565,72.853274,50.41,76.27,1841.0,27.8,4.75,34.41,Critical
RRA-00172,2025-07-14,Pune,Katraj Ward,Katraj Dehu Road Bypass,18.44607,73.873306,47.63,82.86,1670.7,27.9,23.86,10.35,Critical
RRA-00173,2025-03-24,Delhi,Nangloi Ward,Rohtak Road,28.677605,77.053923,7.11,46.09,,7.7,11.1,55.52,Low
RRA-00174,2025-12-29,Pune,Vadgaon Sheri Ward,Nagar Road,18.564561,73.926095,8.52,52.5,1558.2,27.7,18.07,20.82,High
RRA-00175,2025-12-12,Hyderabad,Banjara Hills Ward,Banjara Hills Road No 12,17.418352,78.434376,9.88,53.67,451.5,24.5,12.06,34.45,Medium
RRA-00176,2025-04-24,Delhi,Dwarka Ward,NH48 Highway,28.593135,77.047479,17.75,53.63,1332.9,3.7,11.84,33.75,Low
RRA-00177,2025-06-01,Bangalore,Electronic City Ward,Hosur Road,12.843796,77.662998,24.17,66.34,907.8,3.2,17.74,45.63,Medium
RRA-00178,2025-03-07,Bangalore,Marathahalli Ward,Outer Ring Road,12.963765,77.700653,5.14,41.56,2484.6,15.6,3.91,54.34,Medium
RRA-00179,2025-12-14,Chennai,Sholinganallur Ward,Old Mahabalipuram Road,12.89618,80.232314,23.74,68.8,1684.9,8.9,5.84,46.95,Medium
RRA-00180,2025-05-29,Chennai,Teynampet Ward,Anna Salai,13.039319,80.240631,10.57,55.72,1215.7,26.0,16.68,24.53,High
RRA-00181,2025-06-09,Delhi,Dhaula Kuan Ward,Outer Ring Road,28.604108,77.164278,23.55,67.31,1403.4,27.2,6.72,32.72,High
RRA-00182,2025-05-31,Delhi,Nizamuddin Ward,Mathura Road,28.591643,77.24354,18.89,65.15,1364.4,15.6,8.62,61.4,Medium
RRA-00183,2025-01-03,Mumbai,Vashi Ward,Sion Panvel Highway,19.070448,73.00342,21.22,59.99,529.8,15.5,7.03,64.06,Low
RRA-00184,2025-10-20,Bangalore,HAL Ward,Old Airport Road,12.960412,77.637791,6.3,49.58,1855.4,5.6,19.6,58.83,Low
RRA-00185,2025-05-06,Mumbai,Thane Ward,Ghodbunder Road,19.250277,72.972876,29.1,78.98,366.4,18.8,22.48,60.54,High
